date	pa_conc	strain	replicate	pheno
10132015	80	MY16	C	94.5945945945946
10132015	100	MY16	C	24.6031746031746
10132015	120	MY16	C	3.57142857142857
10132015	140	MY16	C	0
10152015	0	MY16	C	100
10152015	20	MY16	C	100
10152015	40	MY16	C	100
10152015	60	MY16	C	100
10152015	80	MY16	C	97.4137931034483
10152015	100	MY16	C	54.9450549450549
10152015	120	MY16	C	8.33333333333333
10152015	140	MY16	C	0
10192015	0	MY16	C	100
10192015	20	MY16	C	99.1379310344828
10192015	40	MY16	C	100
10192015	60	MY16	C	100
10192015	80	MY16	C	94.9494949494949
10192015	100	MY16	C	35.8695652173913
10192015	120	MY16	C	1
10192015	140	MY16	C	0
10132015	0	CB4856	A	100
10132015	20	CB4856	A	96.1538461538462
10132015	40	CB4856	A	100
10132015	60	CB4856	A	96.1538461538462
10132015	80	CB4856	A	21.1267605633803
10132015	100	CB4856	A	0
10132015	120	CB4856	A	0
10132015	140	CB4856	A	0
10152015	0	CB4856	A	100
10152015	20	CB4856	A	100
10152015	40	CB4856	A	100
10152015	60	CB4856	A	100
10152015	80	CB4856	A	95.2941176470588
10152015	100	CB4856	A	2.77777777777778
10152015	120	CB4856	A	0
10152015	140	CB4856	A	0
10192015	0	CB4856	A	97.9166666666667
10192015	20	CB4856	A	100
10192015	40	CB4856	A	100
10192015	60	CB4856	A	96.9387755102041
10192015	80	CB4856	A	78.3333333333333
10192015	100	CB4856	A	1.0989010989011
10192015	120	CB4856	A	0
10192015	140	CB4856	A	0
10132015	0	CB4856	B	100
10132015	20	CB4856	B	98.1308411214953
10132015	40	CB4856	B	100
10132015	60	CB4856	B	96.7741935483871
10132015	80	CB4856	B	38.3177570093458
10132015	100	CB4856	B	0
10132015	120	CB4856	B	0
10132015	140	CB4856	B	0
10152015	0	CB4856	B	100
10152015	20	CB4856	B	100
10152015	40	CB4856	B	100
10152015	60	CB4856	B	100
10152015	80	CB4856	B	98.8505747126437
10152015	100	CB4856	B	9.52380952380952
10152015	120	CB4856	B	0
10152015	140	CB4856	B	0
10192015	0	CB4856	B	100
10192015	20	CB4856	B	100
10192015	40	CB4856	B	100
10192015	60	CB4856	B	97.2972972972973
10192015	80	CB4856	B	78.9473684210526
10192015	100	CB4856	B	1.04166666666667
10192015	120	CB4856	B	0
10192015	140	CB4856	B	0
10132015	0	CB4856	C	100
10132015	20	CB4856	C	100
10132015	40	CB4856	C	100
10132015	60	CB4856	C	92.436974789916
10132015	80	CB4856	C	37.8787878787879
10132015	100	CB4856	C	0
10132015	120	CB4856	C	0
10132015	140	CB4856	C	0
10152015	0	CB4856	C	100
10152015	20	CB4856	C	100
10152015	40	CB4856	C	100
10152015	60	CB4856	C	100
10152015	80	CB4856	C	100
10152015	100	CB4856	C	3.33333333333333
10152015	120	CB4856	C	0
10152015	140	CB4856	C	0
10192015	0	CB4856	C	100
10192015	20	CB4856	C	100
10192015	40	CB4856	C	98.9690721649485
10192015	60	CB4856	C	100
10192015	80	CB4856	C	75.7009345794392
10192015	100	CB4856	C	1.78571428571429
10192015	120	CB4856	C	0
10192015	140	CB4856	C	0
10132015	0	JU258	A	100
10132015	20	JU258	A	100
