date	pa_conc	strain	replicate	pheno	dose_mean
10192015	40	JU775	C	98.3471074380165	99.36203318735214
10192015	60	JU775	C	99.0990990990991	98.20246188381297
10192015	80	JU775	C	76.8421052631579	70.25427626590695
10192015	100	JU775	C	1.63934426229508	1.7969667345211104
10192015	120	JU775	C	0	0
10192015	140	JU775	C	0	0
10132015	0	MY23	A	100	100
10132015	20	MY23	A	99.3377483443709	98.48472701857617
10132015	40	MY23	A	100	99.21114502276082
10132015	60	MY23	A	97.2222222222222	96.54814209867
10132015	80	MY23	A	29.0322580645161	69.68515612411979
10132015	100	MY23	A	18.8679245283019	10.435770454634378
10132015	120	MY23	A	2.1978021978022	0.6780939002807794
10132015	140	MY23	A	0	0
10152015	0	MY23	A	100	100
10152015	20	MY23	A	96.5116279069768	98.48472701857617
10152015	40	MY23	A	98.7179487179487	99.21114502276082
10152015	60	MY23	A	100	96.54814209867
10152015	80	MY23	A	98.6666666666667	69.68515612411979
10152015	100	MY23	A	8.57142857142857	10.435770454634378
10152015	120	MY23	A	0	0.6780939002807794
10152015	140	MY23	A	0	0
10192015	0	MY23	A	100	100
10192015	20	MY23	A	98.7654320987654	98.48472701857617
10192015	40	MY23	A	96.4285714285714	99.21114502276082
10192015	60	MY23	A	89.7058823529412	96.54814209867
10192015	80	MY23	A	79.5454545454545	69.68515612411979
10192015	100	MY23	A	4.44444444444444	10.435770454634378
10192015	120	MY23	A	1.17647058823529	0.6780939002807794
10192015	140	MY23	A	0	0
10132015	0	MY23	B	100	100
10132015	20	MY23	B	98.2142857142857	98.48472701857617
10132015	40	MY23	B	100	99.21114502276082
10132015	60	MY23	B	95.8579881656805	96.54814209867
10132015	80	MY23	B	37.888198757764	69.68515612411979
10132015	100	MY23	B	17.8571428571429	10.435770454634378
10132015	120	MY23	B	0.578034682080925	0.6780939002807794
10132015	140	MY23	B	0	0
10152015	0	MY23	B	100	100
10152015	20	MY23	B	100	98.48472701857617
10152015	40	MY23	B	100	99.21114502276082
10152015	60	MY23	B	100	96.54814209867
10152015	80	MY23	B	100	69.68515612411979
10152015	100	MY23	B	7.69230769230769	10.435770454634378
10152015	120	MY23	B	0	0.6780939002807794
10152015	140	MY23	B	0	0
10192015	0	MY23	B	100	100
10192015	20	MY23	B	100	98.48472701857617
10192015	40	MY23	B	98.7341772151899	99.21114502276082
10192015	60	MY23	B	93.9393939393939	96.54814209867
10192015	80	MY23	B	76.6666666666667	69.68515612411979
10192015	100	MY23	B	6.41025641025641	10.435770454634378
10192015	120	MY23	B	0	0.6780939002807794
10192015	140	MY23	B	0	0
10132015	0	MY23	C	100	100
10132015	20	MY23	C	99.2805755395683	98.48472701857617
10132015	40	MY23	C	100	99.21114502276082
10132015	60	MY23	C	96.969696969697	96.54814209867
10132015	80	MY23	C	26.9461077844311	69.68515612411979
10132015	100	MY23	C	17.8082191780822	10.435770454634378
10132015	120	MY23	C	2.1505376344086	0.6780939002807794
10132015	140	MY23	C	0	0
10152015	0	MY23	C	100	100
10152015	20	MY23	C	94.2528735632184	98.48472701857617
10152015	40	MY23	C	100	99.21114502276082
10152015	60	MY23	C	100	96.54814209867
10152015	80	MY23	C	97.3684210526316	69.68515612411979
10152015	100	MY23	C	7.61904761904762	10.435770454634378
10152015	120	MY23	C	0	0.6780939002807794
10152015	140	MY23	C	0	0
10192015	0	MY23	C	100	100
10192015	20	MY23	C	100	98.48472701857617
10192015	40	MY23	C	99.0196078431373	99.21114502276082
10192015	60	MY23	C	95.2380952380952	96.54814209867
10192015	80	MY23	C	81.0526315789474	69.68515612411979
10192015	100	MY23	C	4.65116279069767	10.435770454634378
10192015	120	MY23	C	0	0.6780939002807794
10192015	140	MY23	C	0	0
10132015	0	JT11398	A	100	100
10132015	20	JT11398	A	100	100
10132015	40	JT11398	A	100	99.57849048428758
10132015	60	JT11398	A	98.2658959537572	98.87392649513541
10132015	80	JT11398	A	22.2929936305732	70.92735327915793
10132015	100	JT11398	A	7.79220779220779	3.2064995042068416
10132015	120	JT11398	A	5.59440559440559	1.571576571576571
10132015	140	JT11398	A	0	0
10152015	0	JT11398	A	100	100
10152015	20	JT11398	A	100	100
10152015	40	JT11398	A	100	99.57849048428758
10152015	60	JT11398	A	98.989898989899	98.87392649513541
10152015	80	JT11398	A	99.0654205607477	70.92735327915793
10152015	100	JT11398	A	0	3.2064995042068416
10152015	120	JT11398	A	0	1.571576571576571
10152015	140	JT11398	A	0	0
10192015	0	JT11398	A	100	100
10192015	20	JT11398	A	100	100
10192015	40	JT11398	A	99.0384615384615	99.57849048428758
